frequency,mag_dB,phase_deg
7.447319739059888377e+01,-4.999999999942306705e-01,-1.508597831131678300e-02
7.603262769401814580e+01,-4.999999999939834794e-01,-1.540187091591227637e-02
7.762471166286916002e+01,-4.999999999937311257e-01,-1.572437814903816788e-02
7.925013304804714664e+01,-4.999999999934656159e-01,-1.605363851763175892e-02
8.090958991783821830e+01,-4.999999999931897809e-01,-1.638979342889614749e-02
8.260379495771783809e+01,-4.999999999929047867e-01,-1.673298725103032625e-02
8.433347577642750537e+01,-4.999999999926034722e-01,-1.708336737523113991e-02
8.609937521846002539e+01,-4.999999999922918881e-01,-1.744108427899334138e-02
8.790225168308842285e+01,-4.999999999919650939e-01,-1.780629159073532711e-02
8.974287945007480971e+01,-4.999999999916259208e-01,-1.817914615577793241e-02
9.162204901219992337e+01,-4.999999999912704829e-01,-1.855980810370494102e-02
9.354056741475515935e+01,-4.999999999909016668e-01,-1.894844091713401846e-02
9.549925860214354145e+01,-4.999999999905166415e-01,-1.934521150192768796e-02
9.749896377173867279e+01,-4.999999999901172387e-01,-1.975029025887458170e-02
9.954054173515264381e+01,-4.999999999897004610e-01,-2.016385115687150537e-02
1.016248692870694867e+02,-4.999999999892643099e-01,-2.058607180763814479e-02
1.037528415818012633e+02,-4.999999999888117275e-01,-2.101713354199608030e-02
1.059253725177288601e+02,-4.999999999883398272e-01,-2.145722148774506857e-02
1.081433951297937597e+02,-4.999999999878454449e-01,-2.190652464917024200e-02
1.104078619902072518e+02,-4.999999999873327439e-01,-2.236523598821390027e-02
1.127197456175510411e+02,-4.999999999867974498e-01,-2.283355250734717123e-02
1.150800388944435610e+02,-4.999999999862386746e-01,-2.331167533417690535e-02
1.174897554939529272e+02,-4.999999999856585275e-01,-2.379980980782431602e-02
1.199499303149378164e+02,-4.999999999850548438e-01,-2.429816556711227732e-02
1.224616199265047669e+02,-4.999999999844235155e-01,-2.480695664059924185e-02
1.250259030217720095e+02,-4.999999999837646536e-01,-2.532640153849859133e-02
1.276438808811343506e+02,-4.999999999830803676e-01,-2.585672334652243040e-02
1.303166778452298615e+02,-4.999999999823673269e-01,-2.639814982169089164e-02
1.330454417978090191e+02,-4.999999999816217011e-01,-2.695091349014736709e-02
1.358313446587154090e+02,-4.999999999808484308e-01,-2.751525174702201815e-02
1.386755828871888241e+02,-4.999999999800384121e-01,-2.809140695838643551e-02
1.415793779957080858e+02,-4.999999999791976957e-01,-2.867962656534331356e-02
1.445439770745926467e+02,-4.999999999783172333e-01,-2.928016319029563136e-02
1.475706533275894685e+02,-4.999999999774060733e-01,-2.989327474544110561e-02
1.506607066186741690e+02,-4.999999999764530578e-01,-3.051922454353848263e-02
1.538154640303034171e+02,-4.999999999754591862e-01,-3.115828141099346096e-02
1.570362804333551594e+02,-4.999999999744254020e-01,-3.181071980331241777e-02
1.603245390690040040e+02,-4.999999999733488742e-01,-3.247681992297374309e-02
1.636816521427808198e+02,-4.999999999722251620e-01,-3.315686783976759533e-02
1.671090614310706997e+02,-4.999999999710566523e-01,-3.385115561365523162e-02
1.706082389003122728e+02,-4.999999999698380160e-01,-3.455998142020146047e-02
1.741806873391612669e+02,-4.999999999685662555e-01,-3.528364967863321933e-02
1.778279410038922776e+02,-4.999999999672435358e-01,-3.602247118258010417e-02
1.815515662773134977e+02,-4.999999999658665817e-01,-3.677676323355214688e-02
1.853531623414810099e+02,-4.999999999644283433e-01,-3.754684977721317596e-02
1.892343618644974015e+02,-4.999999999629318737e-01,-3.833306154250742948e-02
1.931968317016923891e+02,-4.999999999613731205e-01,-3.913573618369947660e-02
1.972422736114853308e+02,-4.999999999597499745e-01,-3.995521842538864166e-02
2.013724249862387410e+02,-4.999999999580574395e-01,-4.079186021056005473e-02
2.055890595984140248e+02,-4.999999999562943498e-01,-4.164602085173589596e-02
2.098939883623522178e+02,-4.999999999544588181e-01,-4.251806718529167056e-02
2.142890601120058705e+02,-4.999999999525435168e-01,-4.340837372900423208e-02
