time_us,vout
1.298097000000008883e-01,7.255805279999999469e-02
1.298314000000012625e-01,7.257045709999999927e-02
1.298407000000006972e-01,7.257576890000000391e-02
1.298450000000014593e-01,7.257824979999999426e-02
1.298537000000012653e-01,7.258321149999999444e-02
1.298711000000008498e-01,7.259313509999999747e-02
1.298907000000008027e-01,7.260433909999999824e-02
1.298942000000003760e-01,7.260632379999999719e-02
1.299011000000012683e-01,7.261029330000000337e-02
1.299150000000012795e-01,7.261823219999999357e-02
1.299428000000013295e-01,7.263411020000000440e-02
1.299984000000014295e-01,7.266586649999999536e-02
1.301094999999999891e-01,7.272938029999999332e-02
1.303318000000004140e-01,7.285641249999999514e-02
1.306489000000008449e-01,7.303758759999999517e-02
1.308497000000007904e-01,7.315239510000000334e-02
1.310053000000011292e-01,7.324131220000000553e-02
1.311767000000003125e-01,7.333928979999999875e-02
1.313347000000008591e-01,7.342960119999999979e-02
1.316508000000002065e-01,7.361022929999999631e-02
1.320294000000005186e-01,7.382665339999999743e-02
1.325962999999999170e-01,7.415068669999999584e-02
1.333970000000012646e-01,7.460840069999999380e-02
1.349817000000005096e-01,7.551418259999999327e-02
1.368223000000001188e-01,7.656599579999999461e-02
1.368233000000012023e-01,7.656656720000000471e-02
1.368252999999999830e-01,7.656770999999999716e-02
1.368293000000009307e-01,7.656999550000000154e-02
1.368323000000008227e-01,7.657170970000000410e-02
1.368331000000003184e-01,7.657216679999999387e-02
1.368347000000010583e-01,7.657308100000000117e-02
1.368379000000007895e-01,7.657490940000000190e-02
1.368443000000003074e-01,7.657856629999999776e-02
1.368571000000009807e-01,7.658587999999999507e-02
1.368827000000006899e-01,7.660050729999999530e-02
1.369339000000000528e-01,7.662976159999999870e-02
1.370363000000005271e-01,7.668826939999999481e-02
1.372411000000014203e-01,7.680528070000000596e-02
1.376507000000015413e-01,7.703928579999999582e-02
1.384699000000001179e-01,7.750722090000000675e-02
1.386293000000015097e-01,7.759825979999999956e-02
1.386793000000016152e-01,7.762681550000000152e-02
1.386957000000001161e-01,7.763617259999999742e-02
1.387284000000005846e-01,7.765488669999999483e-02
1.387940000000013607e-01,7.769231429999999550e-02
1.389250000000013807e-01,7.776716749999999789e-02
1.391872000000012877e-01,7.791686509999999621e-02
1.397115000000011820e-01,7.821622429999999793e-02
1.407600000000009954e-01,7.881479219999999730e-02
1.428572000000005449e-01,8.001129560000000418e-02
1.457408000000016135e-01,8.165513259999999940e-02
1.457418000000010039e-01,8.165570229999999374e-02
1.457438000000014777e-01,8.165684189999999898e-02
1.457478000000007323e-01,8.165912100000000118e-02
1.457508000000006243e-01,8.166083030000000076e-02
1.457516000000001199e-01,8.166128609999999399e-02
1.457532000000008598e-01,8.166219769999999434e-02
1.457564000000005910e-01,8.166402100000000330e-02
1.457628000000001089e-01,8.166766749999999908e-02
1.457756000000007823e-01,8.167496050000000452e-02
1.458012000000004915e-01,8.168954639999999323e-02
1.458524000000015475e-01,8.171871779999999308e-02
1.459548000000003287e-01,8.177705909999999356e-02
1.461596000000012219e-01,8.189373560000000329e-02
1.465692000000013429e-01,8.212706429999999669e-02
1.472978000000007559e-01,8.254203350000000050e-02
1.473798000000000608e-01,8.258868360000000408e-02
1.475436000000004688e-01,8.268198089999999334e-02
1.475478000000013112e-01,8.268439530000000481e-02
1.475563000000012226e-01,8.268922400000000561e-02
1.475733000000010453e-01,8.269888150000000160e-02
1.475978000000014168e-01,8.271286649999999574e-02
1.476012000000010427e-01,8.271479789999999777e-02
1.476080000000002945e-01,8.271866090000000449e-02
