 v-sweep         v(vinp)         v(voutp)        v(voutn)       
-1.15300000e+00  1.73500000e-01  8.72187969e-02  1.43919691e+00 
-1.15200000e+00  1.74000000e-01  8.72593548e-02  1.43919281e+00 
-1.15100000e+00  1.74500000e-01  8.72999725e-02  1.43918870e+00 
-1.15000000e+00  1.75000000e-01  8.73406500e-02  1.43918455e+00 
-1.14900000e+00  1.75500000e-01  8.73813876e-02  1.43918039e+00 
-1.14800000e+00  1.76000000e-01  8.74221855e-02  1.43917620e+00 
-1.14700000e+00  1.76500000e-01  8.74630437e-02  1.43917198e+00 
-1.14600000e+00  1.77000000e-01  8.75039624e-02  1.43916775e+00 
-1.14500000e+00  1.77500000e-01  8.75449419e-02  1.43916348e+00 
-1.14400000e+00  1.78000000e-01  8.75859823e-02  1.43915920e+00 
-1.14300000e+00  1.78500000e-01  8.76270837e-02  1.43915488e+00 
-1.14200000e+00  1.79000000e-01  8.76682464e-02  1.43915054e+00 
-1.14100000e+00  1.79500000e-01  8.77094704e-02  1.43914618e+00 
-1.14000000e+00  1.80000000e-01  8.77507561e-02  1.43914179e+00 
-1.13900000e+00  1.80500000e-01  8.77921035e-02  1.43913737e+00 
-1.13800000e+00  1.81000000e-01  8.78335129e-02  1.43913293e+00 
-1.13700000e+00  1.81500000e-01  8.78749844e-02  1.43912845e+00 
