 time            v(vinp1_IF)     v(vinn1_IF)     v(vinp2_IF)     v(vinn2_IF)     v(LO_I)         v(LO_IX)        v(LO_Q)         v(LO_QX)        v(vout_RF)      v(vout_RF_filt)
 1.34375124e-05  4.06630130e-01  1.09336987e+00  8.32188272e-02  1.41678117e+00  1.14000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  4.07300974e-01  1.82316240e-01 
 1.34375153e-05  4.06631624e-01  1.09336838e+00  8.32180578e-02  1.41678194e+00  7.10638401e-01  0.00000000e+00  1.50000000e+00  0.00000000e+00  4.07304446e-01  1.82437527e-01 
 1.34375200e-05  4.06634097e-01  1.09336590e+00  8.32167842e-02  1.41678322e+00  8.41602343e-11  0.00000000e+00  1.50000000e+00  0.00000000e+00  4.07310603e-01  1.82638166e-01 
 1.34375205e-05  4.06634379e-01  1.09336562e+00  8.32166392e-02  1.41678336e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  4.07311349e-01  1.82661005e-01 
 1.34375216e-05  4.06634942e-01  1.09336506e+00  8.32163492e-02  1.41678365e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  4.07312801e-01  1.82706679e-01 
 1.34375238e-05  4.06636069e-01  1.09336393e+00  8.32157691e-02  1.41678423e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  4.07315520e-01  1.82798006e-01 
 1.34375281e-05  4.06638322e-01  1.09336168e+00  8.32146089e-02  1.41678539e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  4.07320605e-01  1.82980579e-01 
 1.34375358e-05  4.06642352e-01  1.09335765e+00  8.32125332e-02  1.41678747e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  4.07329634e-01  1.83306948e-01 
 1.34375465e-05  4.06647919e-01  1.09335208e+00  8.32096667e-02  1.41679033e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  4.07342525e-01  1.83757101e-01 
 1.34375626e-05  4.06656331e-01  1.09334367e+00  8.32053355e-02  1.41679466e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  4.07362215e-01  1.84436031e-01 
