 freq            v(vout_RF_filt_spec_db)
 7.77569782e+07 -9.93605701e+01 
 7.78815888e+07 -9.98812304e+01 
 7.80061993e+07 -9.62518290e+01 
 7.81308099e+07 -9.42897301e+01 
 7.82554204e+07 -9.82932355e+01 
 7.83800310e+07 -9.86752697e+01 
 7.85046415e+07 -9.30490240e+01 
 7.86292520e+07 -9.14980953e+01 
 7.87538626e+07 -9.56863508e+01 
 7.88784731e+07 -9.96527730e+01 
 7.90030837e+07 -9.59807211e+01 
 7.91276942e+07 -9.41673359e+01 
 7.92523047e+07 -9.58348209e+01 
 7.93769153e+07 -9.58215841e+01 
 7.95015258e+07 -9.32572395e+01 
 7.96261364e+07 -9.47223050e+01 
 7.97507469e+07 -1.00659260e+02 
 7.98753575e+07 -1.00374412e+02 
 7.99999680e+07 -9.94671470e+01 
 8.01245785e+07 -1.00738813e+02 
 8.02491891e+07 -1.12025268e+02 
 8.03737996e+07 -1.03460751e+02 
 8.04984102e+07 -1.06768802e+02 
 8.06230207e+07 -9.59236660e+01 
 8.07476313e+07 -9.39835701e+01 
 8.08722418e+07 -9.56821485e+01 
 8.09968523e+07 -1.00117786e+02 
 8.11214629e+07 -9.41697826e+01 
 8.12460734e+07 -9.41885966e+01 
 8.13706840e+07 -1.02917692e+02 
 8.14952945e+07 -9.78686509e+01 
 8.16199050e+07 -8.90405406e+01 
 8.17445156e+07 -8.90056389e+01 
 8.18691261e+07 -9.26481648e+01 
 8.19937367e+07 -9.07105987e+01 
 8.21183472e+07 -8.61924124e+01 
 8.22429578e+07 -8.92100016e+01 
 8.23675683e+07 -9.59335138e+01 
 8.24921788e+07 -9.05800382e+01 
 8.26167894e+07 -8.30534929e+01 
 8.27413999e+07 -8.09321061e+01 
 8.28660105e+07 -8.54941055e+01 
 8.29906210e+07 -8.45404501e+01 
 8.31152316e+07 -7.55172677e+01 
 8.32398421e+07 -7.40065415e+01 
 8.33644526e+07 -7.73807967e+01 
 8.34890632e+07 -7.62112683e+01 
 8.36136737e+07 -6.98495761e+01 
 8.37382843e+07 -7.05774866e+01 
 8.38628948e+07 -8.38355688e+01 
 8.39875053e+07 -7.93817924e+01 
 8.41121159e+07 -7.04204555e+01 
 8.42367264e+07 -7.21906406e+01 
 8.43613370e+07 -8.11036398e+01 
 8.44859475e+07 -8.21044042e+01 
 8.46105581e+07 -7.90372627e+01 
 8.47351686e+07 -8.13500841e+01 
 8.48597791e+07 -9.14087073e+01 
 8.49843897e+07 -9.72767444e+01 
 8.51090002e+07 -9.81799732e+01 
