 time            v(vinp_Q)       v(vinn_Q)       v(vinp_I)       v(vinn_I)       v(LO_I)         v(LO_IX)        v(LO_Q)         v(LO_QX)        v(vout_RF)      v(vout_RF_filt)
 8.02817480e-06 -0.00000000e+00  1.50000000e+00  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  6.59640863e-01 -3.23265344e-01 
 8.02854250e-06 -0.00000000e+00  1.50000000e+00  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  7.07728601e-01 -3.31458179e-01 
 8.02873137e-06 -0.00000000e+00  1.50000000e+00  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  7.32720680e-01 -3.35138542e-01 
 8.02893060e-06 -0.00000000e+00  1.50000000e+00  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  7.58527036e-01 -3.38627071e-01 
 8.02915432e-06 -0.00000000e+00  1.50000000e+00  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  7.85548790e-01 -3.42059003e-01 
 8.02935613e-06 -0.00000000e+00  1.50000000e+00  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  8.07174294e-01 -3.44711508e-01 
 8.02964242e-06 -0.00000000e+00  1.50000000e+00  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  8.32046693e-01 -3.47746686e-01 
 8.02995849e-06 -0.00000000e+00  1.50000000e+00  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  8.51767664e-01 -3.50094603e-01 
 8.03023005e-06 -0.00000000e+00  1.50000000e+00  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  8.63796110e-01 -3.51260755e-01 
 8.03045457e-06 -0.00000000e+00  1.50000000e+00  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  8.71940263e-01 -3.51624246e-01 
 8.03069196e-06 -0.00000000e+00  1.50000000e+00  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  8.80676024e-01 -3.51411716e-01 
 8.03072009e-06  7.56145919e-02  1.42438541e+00  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  8.81749664e-01 -3.51341499e-01 
 8.03077636e-06  2.26843776e-01  1.27315622e+00  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  8.83977973e-01 -3.51180217e-01 
 8.03088888e-06  5.29302143e-01  9.70697857e-01  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  8.88875688e-01 -3.50757604e-01 
 8.03111392e-06  1.13421888e+00  3.65781122e-01  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  9.00671011e-01 -3.49499931e-01 
 8.03125000e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  9.09093340e-01 -3.48472371e-01 
 8.03128056e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  9.11140180e-01 -3.48208882e-01 
 8.03134168e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  9.15338566e-01 -3.47657654e-01 
 8.03146392e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  9.24174056e-01 -3.46439253e-01 
 8.03170840e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  9.43088126e-01 -3.43527394e-01 
 8.03209428e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  9.73800257e-01 -3.37655149e-01 
 8.03245142e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  1.00034623e+00 -3.30852127e-01 
 8.03277892e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  1.02094949e+00 -3.23482133e-01 
 8.03311437e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  1.03711818e+00 -3.14837704e-01 
 8.03344718e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  1.04850007e+00 -3.05192105e-01 
 8.03367826e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  1.05432271e+00 -2.97880509e-01 
 8.03390536e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  1.05919590e+00 -2.90215993e-01 
 8.03414853e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  1.06438457e+00 -2.81495086e-01 
 8.03445050e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  1.07181803e+00 -2.69949256e-01 
 8.03476566e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  1.08118911e+00 -2.57086540e-01 
 8.03521817e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  1.09670379e+00 -2.37256414e-01 
 8.03571387e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  1.11389795e+00 -2.13834325e-01 
 8.03571429e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  1.11391237e+00 -2.13814058e-01 
 8.03571451e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  3.33497743e-02  0.00000000e+00  0.00000000e+00  1.50000000e+00  1.11392013e+00 -2.13803153e-01 
 8.03571495e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  1.00049323e-01  0.00000000e+00  0.00000000e+00  1.50000000e+00  1.11393566e+00 -2.13781343e-01 
