time,vinp,vinn,voutp,voutn,vout
8.027214509999999471e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.169137179999999887e-01,5.860512380000000299e-01,3.308624789999999871e-01
8.027624109999999597e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.168079040000000068e-01,5.861421239999999866e-01,3.306657809999999920e-01
8.028443309999999848e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.165962119999999658e-01,5.863240250000000264e-01,3.302721869999999948e-01
8.028652709999999657e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.165420840000000346e-01,5.863705479999999914e-01,3.301715359999999877e-01
8.028702709999999766e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.165291580000000105e-01,5.863816590000000550e-01,3.301474999999999826e-01
8.028719100000000140e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.165249229999999914e-01,5.863852990000000265e-01,3.301396229999999932e-01
8.028751869999999370e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.165164510000000098e-01,5.863925810000000238e-01,3.301238699999999859e-01
8.028817399999999699e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.164995080000000183e-01,5.864071450000000185e-01,3.300923629999999998e-01
8.028948470000000180e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.164656190000000091e-01,5.864362760000000341e-01,3.300293429999999750e-01
8.029210619999999275e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.163978270000000537e-01,5.864945459999999500e-01,3.299032809999999927e-01
8.029734909999999333e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.162621930000000026e-01,5.866111280000000372e-01,3.296510650000000209e-01
8.030783479999999624e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.159907040000000444e-01,5.868444569999999860e-01,3.291462470000000029e-01
8.032880630000000031e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.154468350000000143e-01,5.873119329999999527e-01,3.281349020000000061e-01
8.035714289999999947e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.147099330000000306e-01,5.879457179999999505e-01,3.267642150000000245e-01
8.036071430000000780e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.146168730000000524e-01,5.880258099999999821e-01,3.265910630000000148e-01
8.036785710000000753e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.144306660000000031e-01,5.881861240000000324e-01,3.262445420000000262e-01
8.037621430000000791e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.142126050000000115e-01,5.883739409999999559e-01,3.258386650000000273e-01
8.037764289999999360e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.141753040000000219e-01,5.884060770000000273e-01,3.257692269999999946e-01
8.037871429999999645e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.141473249999999551e-01,5.884301819999999683e-01,3.257171429999999868e-01
8.037899999999999733e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.141398630000000525e-01,5.884366109999999983e-01,3.257032519999999987e-01
8.037921429999999754e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.141342660000000286e-01,5.884414319999999865e-01,3.256928339999999866e-01
8.037927139999999503e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.141327740000000368e-01,5.884427180000000313e-01,3.256900560000000056e-01
8.037938570000000520e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.141297889999999704e-01,5.884452900000000097e-01,3.256844990000000162e-01
8.037961429999999165e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.141238189999999486e-01,5.884504329999999950e-01,3.256733860000000091e-01
8.037971429999999864e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.141212069999999912e-01,5.884526829999999764e-01,3.256685240000000148e-01
8.037975999999999289e-06,1.500000000000000000e+00,6.857145599999999591e-03,9.141200139999999807e-01,5.884537130000000449e-01,3.256663009999999914e-01
8.037985139999999834e-06,1.500000000000000000e+00,2.057143679999999877e-02,9.141176260000000164e-01,5.884557700000000446e-01,3.256618560000000273e-01
8.038003430000000747e-06,1.500000000000000000e+00,4.800001920000000061e-02,9.141128490000000051e-01,5.884598850000000159e-01,3.256529639999999892e-01
8.038021429999999974e-06,1.500000000000000000e+00,7.499999999999999722e-02,9.141081469999999820e-01,5.884639350000000491e-01,3.256442119999999885e-01
8.038025090000000121e-06,1.494514279999999973e+00,8.048571649999999855e-02,9.141071910000000411e-01,5.884647570000000050e-01,3.256424330000000089e-01
8.038032400000000592e-06,1.483542850000000080e+00,9.145714940000000681e-02,9.141052800000000200e-01,5.884664029999999713e-01,3.256388769999999933e-01
8.038047029999999664e-06,1.461599979999999910e+00,1.134000150000000068e-01,9.141014579999999778e-01,5.884696950000000149e-01,3.256317630000000185e-01
