frequency,mag_dB,phase_deg
3.990249023621420292e+02,-4.999999999999998890e-01,-1.143122330891360589e-01
4.073802778041126089e+02,-5.000000000000019984e-01,-1.167058730506035924e-01
4.159106104940219097e+02,-4.999999999999998890e-01,-1.191496346495865277e-01
4.246195639463126099e+02,-4.999999999999998890e-01,-1.216445674106671482e-01
4.335108783875289191e+02,-4.999999999999998890e-01,-1.241917428351468899e-01
4.425883723626264441e+02,-4.999999999999998890e-01,-1.267922548612408773e-01
4.518559443749221600e+02,-4.999999999999998890e-01,-1.294472203339109007e-01
4.613175745603790574e+02,-4.999999999999988898e-01,-1.321577794845358311e-01
4.709773263969524351e+02,-4.999999999999998890e-01,-1.349250964206284154e-01
4.808393484497285044e+02,-4.999999999999998890e-01,-1.377503596258065066e-01
4.909078761526029098e+02,-4.999999999999988898e-01,-1.406347824702350313e-01
5.011872336272719508e+02,-4.999999999999998890e-01,-1.435796037317579876e-01
5.116818355403073042e+02,-5.000000000000008882e-01,-1.465860881279433259e-01
5.223961889991197722e+02,-4.999999999999998890e-01,-1.496555268592701660e-01
5.333348954876207699e+02,-4.999999999999988898e-01,-1.527892381636914154e-01
5.445026528424208436e+02,-4.999999999999998890e-01,-1.559885678828104860e-01
5.559042572704031500e+02,-4.999999999999998890e-01,-1.592548900399150813e-01
5.675446054085471133e+02,-4.999999999999998890e-01,-1.625896074301163285e-01
5.794286964268809470e+02,-4.999999999999998890e-01,-1.659941522228463029e-01
5.915616341754737277e+02,-4.999999999999998890e-01,-1.694699865769755398e-01
6.039486293763793583e+02,-4.999999999999988898e-01,-1.730186032688105779e-01
6.165950018614815917e+02,-4.999999999999988898e-01,-1.766415263332453411e-01
6.295061828571974729e+02,-4.999999999999998890e-01,-1.803403117183394744e-01
6.426877173170194055e+02,-4.999999999999998890e-01,-1.841165479536054916e-01
6.561452663029050427e+02,-4.999999999999998890e-01,-1.879718568322940875e-01
6.698846094165257909e+02,-4.999999999999998890e-01,-1.919078941079663536e-01
6.839116472814293957e+02,-4.999999999999998890e-01,-1.959263502056576289e-01
6.982324040771711680e+02,-4.999999999999998890e-01,-2.000289509479328265e-01
7.128530301265191156e+02,-4.999999999999998890e-01,-2.042174582961524820e-01
7.277798045368234625e+02,-4.999999999999998890e-01,-2.084936711072608306e-01
7.430191378967014089e+02,-4.999999999999998890e-01,-2.128594259064264249e-01
7.585775750291835493e+02,-5.000000000000019984e-01,-2.173165976758643370e-01
7.744617978025183902e+02,-4.999999999999998890e-01,-2.218671006601823925e-01
7.906786279998244709e+02,-4.999999999999998890e-01,-2.265128891885934415e-01
8.072350302488373472e+02,-5.000000000000019984e-01,-2.312559585143510177e-01
8.241381150130021069e+02,-4.999999999999998890e-01,-2.360983456717669349e-01
8.413951416451947125e+02,-4.999999999999988898e-01,-2.410421303511798286e-01
8.590135215053951470e+02,-4.999999999999998890e-01,-2.460894357922528419e-01
8.770008211436339707e+02,-4.999999999999998890e-01,-2.512424296959812065e-01
8.953647655495936988e+02,-4.999999999999988898e-01,-2.565033251558042626e-01
9.141132414702498181e+02,-5.000000000000019984e-01,-2.618743816082218512e-01
9.332543007969903783e+02,-5.000000000000008882e-01,-2.673579058033250244e-01
9.527961640236511585e+02,-5.000000000000008882e-01,-2.729562527956559403e-01
9.727472237769650292e+02,-4.999999999999988898e-01,-2.786718269558249861e-01
9.931160484209334527e+02,-4.999999999999998890e-01,-2.845070830033207820e-01
1.013911385736678881e+03,-5.000000000000019984e-01,-2.904645270609567120e-01
1.035142166679343063e+03,-5.000000000000019984e-01,-2.965467177314071723e-01
1.056817509213657331e+03,-5.000000000000019984e-01,-3.027562671962974461e-01
1.078946722229828538e+03,-5.000000000000019984e-01,-3.090958423383208253e-01
1.101539309541414468e+03,-5.000000000000019984e-01,-3.155681658868627060e-01
1.124604973966925627e+03,-5.000000000000029976e-01,-3.221760175876315913e-01
1.148153621496881669e+03,-5.000000000000008882e-01,-3.289222353967915513e-01
1.172195365548130439e+03,-5.000000000000039968e-01,-3.358097167001182770e-01
1.196740531307243145e+03,-5.000000000000039968e-01,-3.428414195576961476e-01
1.221799660164871057e+03,-5.000000000000039968e-01,-3.500203639747018758e-01
1.247383514242942056e+03,-5.000000000000061062e-01,-3.573496331988110786e-01
1.273503081016661554e+03,-5.000000000000061062e-01,-3.648323750447948211e-01
1.300169578033290009e+03,-5.000000000000039968e-01,-3.724718032468716800e-01
1.327394457729738861e+03,-5.000000000000061062e-01,-3.802711988394029685e-01
1.355189412351035116e+03,-5.000000000000061062e-01,-3.882339115665193185e-01
1.383566378971779613e+03,-5.000000000000069944e-01,-3.963633613212924067e-01
1.412537544622754012e+03,-5.000000000000081046e-01,-4.046630396150688869e-01
1.442115351524868174e+03,-5.000000000000102141e-01,-4.131365110775976901e-01
1.472312502432717793e+03,-5.000000000000122125e-01,-4.217874149886045587e-01
1.503141966090020787e+03,-5.000000000000111022e-01,-4.306194668414662363e-01
1.534616982799294192e+03,-5.000000000000132117e-01,-4.396364599396641037e-01
1.566751070108148497e+03,-5.000000000000152101e-01,-4.488422670267000480e-01
1.599558028614667819e+03,-5.000000000000173195e-01,-4.582408419501878827e-01
1.633051947894332898e+03,-5.000000000000193179e-01,-4.678362213608259768e-01
1.667247212551062603e+03,-5.000000000000224265e-01,-4.776325264469937215e-01
1.702158508394950104e+03,-5.000000000000264233e-01,-4.876339647057136295e-01
1.737800828749374432e+03,-5.000000000000295319e-01,-4.978448317507532805e-01
1.774189480890164532e+03,-5.000000000000326406e-01,-5.082695131586342230e-01
1.811340092619600682e+03,-5.000000000000366374e-01,-5.189124863533582932e-01
1.849268618978077939e+03,-5.000000000000407452e-01,-5.297783225306584853e-01
1.887991349096292652e+03,-5.000000000000479616e-01,-5.408716886226047071e-01
1.927524913190934740e+03,-5.000000000000560663e-01,-5.521973493034231240e-01
