 time            v(vin_tg)       v(vout_tg_on)   v(vout_tg_off) 
 2.17280000e-03  1.69618148e+00  1.69617951e+00  8.12297477e-01 
 2.18280000e-03  1.72095961e+00  1.72095791e+00  8.12348861e-01 
 2.19280000e-03  1.74249779e+00  1.74249636e+00  8.12464724e-01 
 2.20280000e-03  1.76071101e+00  1.76070984e+00  8.12693416e-01 
 2.21280000e-03  1.77552740e+00  1.77552648e+00  8.13089877e-01 
 2.22280000e-03  1.78688849e+00  1.78688782e+00  8.13695872e-01 
 2.23280000e-03  1.79474943e+00  1.79474901e+00  8.14516028e-01 
 2.24280000e-03  1.79907920e+00  1.79907903e+00  8.15502883e-01 
 2.25280000e-03  1.79986072e+00  1.79986079e+00  8.16562090e-01 
 2.26280000e-03  1.79709090e+00  1.79709122e+00  8.17578464e-01 
 2.27280000e-03  1.79078068e+00  1.79078124e+00  8.18451371e-01 
 2.28280000e-03  1.78095494e+00  1.78095575e+00  8.19122658e-01 
 2.29280000e-03  1.76765248e+00  1.76765355e+00  8.19585094e-01 
 2.30280000e-03  1.75092580e+00  1.75092711e+00  8.19870852e-01 
 2.31280000e-03  1.73084090e+00  1.73084247e+00  8.20029789e-01 
 2.32280000e-03  1.70747704e+00  1.70747889e+00  8.20109861e-01 
 2.33280000e-03  1.68092645e+00  1.68092857e+00  8.20146768e-01 
 2.34280000e-03  1.65129389e+00  1.65129631e+00  8.20162558e-01 
 2.35280000e-03  1.61869633e+00  1.61869905e+00  8.20168949e-01 
 2.36280000e-03  1.58326239e+00  1.58326545e+00  8.20171469e-01 
 2.37280000e-03  1.54513193e+00  1.54513535e+00  8.20172473e-01 
 2.38280000e-03  1.50445543e+00  1.50445925e+00  8.20172895e-01 
 2.39280000e-03  1.46139342e+00  1.46139769e+00  8.20173087e-01 
 2.40280000e-03  1.41611585e+00  1.41612064e+00  8.20173184e-01 
 2.41280000e-03  1.36880140e+00  1.36880683e+00  8.20173236e-01 
 2.42280000e-03  1.31963681e+00  1.31964301e+00  8.20173265e-01 
 2.43280000e-03  1.26881611e+00  1.26882331e+00  8.20173281e-01 
 2.44280000e-03  1.21653985e+00  1.21654840e+00  8.20173290e-01 
 2.45280000e-03  1.16301436e+00  1.16302485e+00  8.20173294e-01 
 2.46280000e-03  1.10845087e+00  1.10846434e+00  8.20173296e-01 
 2.47280000e-03  1.05306472e+00  1.05308304e+00  8.20173297e-01 
 2.48280000e-03  9.97074490e-01  9.97100055e-01  8.20173297e-01 
 2.49280000e-03  9.40701155e-01  9.40731794e-01  8.20173296e-01 
